Name,URL,Duration,UpdateInterval,StartOn,EndBy,Cache
Exhibit01,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/ECC.jpg,0:00:10,1:00:00,1/1/2025 0:00,9/6/2026 23:59,yes
Exhibit02,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/WellbeingWeek/MainImage.jpg,0:00:15,1:00:00,3/13/2026  12:00:00 am,3/11/2026 23:59,yes
Exhibit03,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/WellbeingWeek/01Mon.jpg,0:00:15,1:00:00,9/7/2026 0:00,9/7/2026 23:59,yes
Exhibit04,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/WellbeingWeek/02Tue.jpg,0:00:15,1:00:00,9/8/2026 0:00,9/8/2026 23:59,yes
Exhibit05,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/WellbeingWeek/03Wed.jpg,0:00:15,1:00:00,9/9/2026 0:00,9/9/2026 23:59,yes
Exhibit06,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/WellbeingWeek/04Thu.jpg,0:00:15,1:00:00,9/10/2026 0:00,9/10/2026 23:59,yes
Exhibit07,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/WellbeingWeek/04ThuRUOK.jpg,0:00:15,1:00:00,9/10/2026 0:00,9/10/2026 23:59,yes
Exhibit08,https://raw.githubusercontent.com/Emmanuel-ICT-Support/ExhibitMediaViewer/main/WellbeingWeek/05Fri.jpg,0:00:15,1:00:00,9/11/2026 0:00,9/11/2026 23:59,yes
